Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),Recommended Insurance,Page_Visits_Health,Page_Visits_Auto,Page_Visits_Home,Page_Visits_Life,Time_Spent_Health,Time_Spent_Auto
48394,700,Tammy Lam,767-902-1450,christopherjackson@example.com,50,Male,Single,4,East Chelseaborough,Customer service manager,3,Natural Disaster,11,5,Auto Insurance B,Full,2026-04-13,2835,Dental Insurance,0,18,11,17,76,120
86997,853,Megan Massey,949.958.4101,marclopez@example.com,55,Female,Single,2,Martinton,Estate agent,0,Theft,70,8,Auto Insurance B,Partial,2025-11-12,1188,Hospital indemnity insurance,10,1,10,9,33,24
92546,150,Sarah Webster,214.695.4627x093,murphytammy@example.org,52,Female,Single,5,North Ryan,"Buyer, industrial",0,Natural Disaster,42,1,Auto Insurance B,Full,2025-07-14,4881,Disability Insurance,20,14,2,16,45,37
20067,997,Tanya James,(209)570-3900,adrienne57@example.net,58,Male,Single,4,Colleenborough,"Engineer, control and instrumentation",0,Natural Disaster,62,7,Life Insurance D,Partial,2026-03-07,3735,Vision Insurance,17,3,1,9,118,22
98145,436,Michelle Gutierrez,+1-464-482-3311,unolan@example.com,56,Male,Married,1,Gutierrezstad,Textile designer,1,Theft,28,6,Home Insurance A,Partial,2025-10-13,2138,Vision Insurance,6,7,8,5,60,110
71949,204,Thomas Walker,+1-445-416-4386,tonya24@example.com,31,Male,Single,3,Rogersmouth,Regulatory affairs officer,2,Accident,62,2,Life Insurance D,Full,2025-06-20,2098,Vision Insurance,16,14,18,4,51,106
93532,858,Mark French,001-697-526-7489x297,ggross@example.com,59,Male,Married,2,New Terri,Operational researcher,2,Theft,48,3,Home Insurance A,Partial,2025-03-07,1973,Accident Insurance,18,15,19,2,12,54
64894,130,Rachel Mack,(848)930-2557,wendy13@example.com,28,Female,Married,0,East Mario,Osteopath,1,Theft,89,6,Health Insurance C,Partial,2025-07-08,1276,Life Insurance,10,3,16,9,0,47
86752,888,Deanna Jones,531.347.1598x3481,velasquezdarin@example.com,19,Male,Single,0,Jasonside,Tree surgeon,3,Accident,67,10,Home Insurance A,Full,2026-06-12,1291,Health Insurance,9,13,3,15,84,97
95323,223,Jennifer Chavez,(550)842-1465,jessica96@example.com,20,Female,Single,1,Millerport,Television floor manager,0,Accident,54,7,Health Insurance C,Partial,2025-06-07,1770,Life Insurance,12,5,6,12,46,98
15296,222,Brandon Malone,(290)825-5504,ortizamber@example.net,69,Female,Single,5,Diazburgh,"Psychologist, sport and exercise",3,Natural Disaster,54,10,Auto Insurance B,Partial,2025-04-30,4132,Hospital indemnity insurance,20,19,10,6,15,66
36386,699,Mark Padilla,+1-651-991-9812x03406,zacharyfrye@example.net,70,Female,Single,0,Hillshire,Further education lecturer,0,Accident,39,7,Life Insurance D,Partial,2024-08-10,1295,Hospital indemnity insurance,11,20,11,1,99,43
59195,263,Melissa Hart,(890)682-6415x623,kellymaria@example.net,29,Female,Single,0,Lake Stevenhaven,Agricultural consultant,0,Theft,41,6,Health Insurance C,Full,2025-11-11,1713,Life Insurance,10,4,6,2,67,39
72243,151,Steven Lewis,394.278.3522,johnstonjeremiah@example.net,45,Male,Married,4,Priceside,"Designer, jewellery",1,Accident,57,7,Home Insurance A,Full,2025-07-03,3490,Disability Insurance,15,5,11,9,65,4
88453,706,Troy Fitzpatrick,(696)480-1696x9203,jasonsullivan@example.com,35,Male,Married,3,Fullermouth,Freight forwarder,2,Natural Disaster,87,9,Health Insurance C,Full,2026-02-02,1209,Life Insurance,16,5,20,18,55,39
80928,729,Veronica Smith,474.320.1264x88630,pirwin@example.com,57,Male,Single,5,Martinshire,Media buyer,3,Theft,25,2,Home Insurance A,Full,2024-09-29,4363,Critical illness Insurance,16,3,17,0,63,96
41905,287,Sara Johnson,(858)495-1337x2685,lauren32@example.com,36,Female,Married,0,Mortonland,"Copywriter, advertising",1,Natural Disaster,100,8,Health Insurance C,Partial,2026-03-29,4173,Accident Insurance,3,17,7,10,51,56
10013,760,Samuel Hernandez,365-944-0852,hollandpatrick@example.net,57,Female,Married,1,Sarahbury,"Engineer, site",2,Natural Disaster,35,2,Health Insurance C,Partial,2025-06-21,4871,Critical illness Insurance,19,11,14,3,58,90
65186,302,Michelle Mcgee,+1-784-638-8835x421,carterrebecca@example.net,25,Female,Single,2,Jillburgh,Technical brewer,2,Accident,70,4,Home Insurance A,Partial,2024-10-05,3531,Critical illness Insurance,1,8,6,5,49,12
95223,547,Richard Freeman,245-975-5976,justin50@example.com,51,Male,Married,3,Browntown,Ecologist,3,Accident,97,9,Life Insurance D,Partial,2024-11-12,3770,Disability Insurance,17,9,17,12,87,14
23081,462,Laura Kline,767-939-9581,jharrison@example.net,24,Female,Married,4,Obrienburgh,Research scientist (medical),0,Natural Disaster,87,1,Life Insurance D,Partial,2026-01-08,4590,Disability Insurance,7,17,12,5,116,112
36345,533,Thomas Smith,873.954.4457x85489,mccoylindsey@example.org,42,Male,Single,4,Port Patrick,Lobbyist,1,Natural Disaster,51,8,Home Insurance A,Full,2025-08-05,4542,Hospital indemnity insurance,19,12,14,19,9,114
19541,861,Olivia Romero,+1-793-742-8571x224,kyleryan@example.net,39,Female,Married,4,North Richard,Broadcast journalist,0,Accident,8,1,Life Insurance D,Partial,2025-01-29,1313,Disability Insurance,12,3,16,1,39,92
53803,808,Donna Delgado,(290)314-6690,cassandrajackson@example.net,38,Female,Single,0,East Brendanchester,"Therapist, art",0,Accident,80,3,Health Insurance C,Partial,2025-11-06,3722,Life Insurance,18,1,14,9,97,24
31234,876,Krista Taylor,219.847.9636,angela27@example.net,23,Female,Single,1,New Melinda,"Development worker, community",3,Natural Disaster,74,7,Life Insurance D,Full,2026-02-10,4812,Life Insurance,13,19,16,18,110,68
90836,985,Jeremy House,7026670090,xwade@example.net,19,Male,Single,3,Finleyborough,Advertising copywriter,0,Accident,72,3,Life Insurance D,Full,2026-06-26,1133,Life Insurance,11,18,2,20,112,24
56580,997,Kimberly Silva,(857)980-5127x8087,wwhitaker@example.com,23,Female,Single,3,West Dylanton,Ship broker,2,Natural Disaster,22,6,Auto Insurance B,Full,2025-07-10,3541,Critical illness Insurance,6,9,14,16,70,97
53707,332,John Horn,001-536-658-3205x084,npittman@example.net,34,Female,Single,0,Lake Kevinville,Financial adviser,2,Accident,41,2,Health Insurance C,Partial,2025-09-24,2995,Critical illness Insurance,8,4,15,16,55,18
84931,159,Terry Gonzalez,525-451-6346x10216,karen55@example.org,66,Female,Married,3,Dakotaland,"Engineer, building services",0,Theft,37,4,Auto Insurance B,Full,2024-08-02,2158,Accident Insurance,15,1,19,11,25,85
33326,324,Michael Sanders,(289)430-8962,jamesklein@example.com,62,Male,Married,1,New Andre,Tree surgeon,3,Natural Disaster,3,6,Auto Insurance B,Full,2025-11-05,2851,Hospital indemnity insurance,8,19,8,3,1,76
98679,465,Debra Brown,+1-751-330-6461,mendozalisa@example.net,56,Male,Married,5,North Kimberly,Editorial assistant,0,Accident,27,0,Home Insurance A,Partial,2026-04-06,4488,Life Insurance,20,1,7,7,76,16
13630,715,Chad Goodwin,583.806.0478x0164,jesuscannon@example.com,33,Female,Married,0,Andrewshire,Travel agency manager,3,Natural Disaster,74,8,Home Insurance A,Partial,2026-02-16,1476,Life Insurance,16,0,3,10,45,117
11000,745,Gary Bowen,+1-656-246-2179x0116,gilbertjoseph@example.org,32,Male,Married,2,New Kevinbury,Microbiologist,2,Theft,97,3,Health Insurance C,Partial,2026-03-22,2667,Vision Insurance,15,1,20,9,4,117
94675,595,Vanessa Smith,850.501.3630,rangeljacob@example.org,33,Female,Married,0,Port Ginamouth,Forensic psychologist,1,Natural Disaster,65,5,Life Insurance D,Partial,2025-12-10,1760,Dental Insurance,12,3,6,11,65,88
55784,253,Julia Jones,+1-491-953-4127x0076,glennbailey@example.com,38,Male,Married,0,North Shawn,"Journalist, magazine",0,Natural Disaster,83,1,Home Insurance A,Partial,2025-01-02,1864,Vision Insurance,17,11,16,7,74,101
63804,514,Matthew Pierce,8979947576,gabriel47@example.org,34,Female,Married,3,Lake Aaron,"Merchandiser, retail",2,Natural Disaster,37,8,Health Insurance C,Full,2026-03-26,3673,Life Insurance,17,2,3,13,89,95
35739,904,David Murphy,001-270-388-7464x169,sabrina67@example.net,52,Male,Married,1,Port Robert,Early years teacher,0,Accident,14,2,Auto Insurance B,Partial,2026-01-16,1233,Vision Insurance,1,15,9,18,87,92
34477,225,Sarah Richardson,377-717-9748,nicholas19@example.net,51,Female,Single,5,East Miranda,Broadcast engineer,1,Theft,25,5,Health Insurance C,Partial,2025-07-18,4774,Vision Insurance,14,12,17,8,11,23
95548,312,Mary Walls,(950)266-8430,allentraci@example.org,44,Female,Married,0,North Carlos,"Engineer, automotive",3,Theft,48,4,Health Insurance C,Partial,2026-05-15,2269,Vision Insurance,5,5,3,8,24,61
69316,581,Caleb Hanson,315-800-6568,dsanders@example.net,32,Male,Married,0,Brandiside,Outdoor activities/education manager,2,Natural Disaster,67,2,Home Insurance A,Full,2025-09-07,3972,Vision Insurance,9,12,6,5,44,61
86900,247,Pamela Massey,615-522-6558x05388,mwilson@example.com,35,Male,Single,0,South Andrew,IT sales professional,3,Theft,30,3,Home Insurance A,Partial,2024-12-27,3796,Vision Insurance,3,14,0,2,114,6
21140,290,Anthony Long,4428958717,millerbetty@example.com,40,Male,Married,1,East Madelinebury,Government social research officer,0,Accident,2,0,Health Insurance C,Partial,2025-11-26,4548,Accident Insurance,5,17,7,14,116,43
26038,499,Antonio Johnson,717.227.8905x3911,drussell@example.com,30,Male,Single,3,Port Katherine,Farm manager,2,Theft,14,7,Life Insurance D,Partial,2025-07-16,4003,Vision Insurance,17,13,2,9,85,73
38950,206,Jesse Werner MD,(460)714-8723x73065,joshua72@example.net,48,Male,Married,4,Lake Amy,Chemical engineer,1,Theft,91,1,Home Insurance A,Full,2025-02-15,1507,Health Insurance,7,4,12,9,0,72
71490,180,Charles Yoder,584-935-0042x809,martinezregina@example.org,51,Female,Married,3,East Bobby,"Teacher, secondary school",2,Theft,36,8,Life Insurance D,Full,2024-11-25,2971,Hospital indemnity insurance,5,19,5,11,105,112
75338,439,Teresa Andrade,645-843-2698x786,christopher50@example.net,49,Female,Married,4,Lake Michaelborough,Sports administrator,1,Theft,74,5,Auto Insurance B,Full,2026-01-14,1178,Accident Insurance,20,7,16,6,63,28
64021,798,Kevin Tucker,+1-891-239-8846x93558,rmiller@example.net,67,Female,Single,3,Richardland,"Scientist, research (life sciences)",0,Theft,5,6,Health Insurance C,Partial,2024-10-25,2389,Disability Insurance,10,9,0,20,64,16
53787,399,Matthew Murphy,001-527-399-1865,acevedodanielle@example.com,63,Female,Married,4,West Michael,Lexicographer,3,Accident,34,5,Auto Insurance B,Full,2025-04-15,4486,Disability Insurance,20,14,18,13,46,57
62600,393,Luke Vega,231-539-5261x713,kharrison@example.net,44,Male,Married,1,Carneybury,Landscape architect,1,Accident,82,0,Auto Insurance B,Partial,2025-03-15,1376,Vision Insurance,5,5,17,2,18,15
81997,456,Traci Ramirez,(540)608-7665,jonesbobby@example.com,59,Female,Married,5,Hollymouth,"Social research officer, government",0,Accident,3,10,Life Insurance D,Full,2026-02-10,4826,Disability Insurance,20,5,13,3,65,14
32068,290,Shannon Barker,768.347.7651x74017,bonnie82@example.com,29,Female,Single,2,Annaton,Dealer,2,Theft,24,8,Auto Insurance B,Full,2025-08-25,2977,Accident Insurance,19,13,6,6,115,33
19997,118,Aaron Jacobson,+1-959-819-4536,hdawson@example.org,38,Female,Single,2,East Christopherton,Brewing technologist,1,Theft,53,2,Life Insurance D,Full,2026-02-08,2023,Critical illness Insurance,13,12,19,8,28,102
82253,289,Matthew Richardson,247-332-2052x57011,sandra37@example.com,19,Male,Married,1,Haysstad,Public relations officer,2,Natural Disaster,71,2,Life Insurance D,Partial,2025-11-06,2700,Critical illness Insurance,16,13,2,9,23,44
51517,936,Patrick Barnett,522-665-8981x72200,lpayne@example.net,47,Female,Married,3,Lake Corey,"Engineer, production",3,Natural Disaster,68,1,Health Insurance C,Partial,2025-07-23,3486,Disability Insurance,6,8,16,17,60,37
18193,646,Sarah Wilson,001-209-955-6257x94660,montgomerymartin@example.net,43,Female,Married,0,North Luis,Film/video editor,3,Theft,61,5,Auto Insurance B,Partial,2025-06-08,4010,Disability Insurance,16,20,7,6,112,22
99988,744,Douglas Carrillo,8652030456,jonathan66@example.net,22,Male,Single,2,East Debbie,Structural engineer,0,Accident,88,1,Health Insurance C,Partial,2025-03-12,2788,Life Insurance,8,2,18,11,60,70
66231,373,Nicole Robertson,(855)786-6304x72873,terri36@example.com,56,Male,Married,1,West Danielleton,Trade mark attorney,1,Theft,54,0,Auto Insurance B,Full,2025-01-18,1450,Vision Insurance,12,12,11,15,111,70
26718,591,Lisa Fuentes,(808)976-6050x7938,wilsonerika@example.org,50,Female,Single,0,Tammyborough,Careers information officer,2,Natural Disaster,8,7,Home Insurance A,Partial,2026-05-23,4229,Accident Insurance,3,0,14,12,99,90
12592,245,Andrew Moon,+1-706-574-1637x62881,gibsonscott@example.com,27,Female,Single,2,West Carlachester,"Librarian, public",1,Natural Disaster,80,5,Life Insurance D,Partial,2025-06-12,2263,Health Insurance,7,4,10,2,5,21
94322,233,Jonathan Gonzalez,545.652.3865x88466,mariahtucker@example.com,34,Male,Single,3,Nielsenbury,Chief of Staff,3,Accident,40,9,Health Insurance C,Partial,2025-01-11,4754,Vision Insurance,19,8,1,20,12,117
22269,637,Emily Duke,+1-580-228-2173,jamesgarcia@example.com,29,Male,Married,0,East Jamie,"Teacher, primary school",2,Natural Disaster,20,8,Auto Insurance B,Partial,2025-05-03,1690,Life Insurance,9,9,3,19,61,13
75820,349,Jesse Roberts,399-770-5463,espinozadouglas@example.com,63,Female,Married,3,South Lisaburgh,Scientific laboratory technician,1,Theft,63,0,Life Insurance D,Partial,2026-06-11,2355,Accident Insurance,6,3,5,20,72,81
90372,151,Leah Dixon,(648)431-7071x4689,stewartbrian@example.net,21,Male,Single,1,Ericbury,Quantity surveyor,1,Theft,32,10,Life Insurance D,Partial,2025-03-30,2746,Life Insurance,2,14,0,11,91,0
45088,792,Barbara Vasquez,+1-506-770-5189x112,terrystephanie@example.org,58,Male,Single,0,Port Danielleville,Trading standards officer,0,Natural Disaster,26,0,Auto Insurance B,Full,2025-06-08,3054,Health Insurance,10,19,11,13,9,16
29098,314,Gregory Briggs,+1-484-701-2322x463,cantrelldawn@example.net,52,Female,Single,0,Lake Jacob,Manufacturing engineer,0,Accident,65,2,Home Insurance A,Full,2025-05-01,1914,Dental Insurance,11,8,11,2,57,77
23574,527,Joshua Garza,544-660-5912x015,omatthews@example.com,46,Male,Married,3,North Daniel,"Librarian, academic",2,Accident,36,4,Health Insurance C,Full,2024-07-24,2539,Vision Insurance,9,12,16,2,35,93
96972,548,Paul Moore,612-643-6488x053,sarah87@example.com,69,Male,Single,1,Lake Deborah,Mudlogger,2,Theft,58,7,Home Insurance A,Partial,2024-10-08,1858,Critical illness Insurance,20,6,14,17,75,21
33768,775,Danielle Lawson,801.851.1990x7031,jamesperez@example.com,40,Female,Married,3,New Heatherhaven,Emergency planning/management officer,1,Natural Disaster,60,1,Life Insurance D,Full,2026-04-12,4312,Life Insurance,7,16,20,2,120,95
83489,682,Frank Sharp,470-865-6132x56731,monicasmith@example.org,69,Female,Married,3,Port Melinda,Therapeutic radiographer,2,Accident,78,3,Auto Insurance B,Partial,2026-06-05,1968,Vision Insurance,14,18,9,11,19,26
70842,199,Lori Travis,894-722-9703x154,udelgado@example.org,42,Male,Married,4,Peterfurt,Solicitor,3,Natural Disaster,26,9,Auto Insurance B,Full,2026-02-26,1812,Vision Insurance,9,0,14,6,23,90
28661,675,Judith Park,828-588-0912x303,taylorlawson@example.net,46,Female,Married,0,Lake Deborah,Estate agent,2,Theft,62,2,Health Insurance C,Partial,2024-09-19,2414,Disability Insurance,16,11,5,11,55,100
57702,333,Nicholas Baldwin,(894)937-6812,melaniebowman@example.net,39,Female,Married,2,Leroyburgh,"Designer, jewellery",0,Accident,66,10,Home Insurance A,Full,2024-08-12,1597,Health Insurance,13,15,17,17,72,58
49143,949,Jill Parsons,961.748.9127x517,hudsontiffany@example.net,67,Female,Single,3,Dayland,Purchasing manager,1,Accident,5,1,Auto Insurance B,Full,2026-03-10,2241,Disability Insurance,10,4,14,9,30,20
11680,276,Eric Stone,362.959.0372,kevin76@example.org,56,Male,Married,1,North Christina,Video editor,0,Theft,53,2,Health Insurance C,Partial,2025-10-21,1045,Health Insurance,14,15,9,14,88,37
50459,534,Christy Jones,+1-894-711-6770x85071,johnsonpatricia@example.net,51,Male,Married,5,Mendozaville,Sub,1,Theft,66,5,Health Insurance C,Full,2025-10-22,4543,Life Insurance,9,5,19,5,6,46
48003,440,Robin Garrett,4228615437,melissa04@example.org,65,Female,Single,5,Port Hollyton,Lexicographer,1,Theft,88,4,Life Insurance D,Full,2025-06-10,1744,Critical illness Insurance,18,7,5,8,78,50
44171,917,Darren Lee,001-712-305-0994x142,bishopmichael@example.net,60,Female,Married,0,Nancyton,Nutritional therapist,1,Theft,77,8,Auto Insurance B,Partial,2024-12-03,1927,Life Insurance,14,0,14,16,20,66
78085,733,Wayne Horn,418-886-9011,luis96@example.net,20,Female,Married,0,Banksstad,Adult nurse,1,Accident,53,8,Home Insurance A,Partial,2025-02-24,4155,Hospital indemnity insurance,8,15,19,3,104,29
77933,353,Jennifer Mahoney,001-871-294-1630x7282,josegarcia@example.net,19,Female,Married,4,Port Steve,Special effects artist,1,Theft,26,7,Auto Insurance B,Full,2025-07-23,4535,Critical illness Insurance,14,17,9,18,90,14
97577,620,Michael Daniels,001-413-364-9794x607,timothy04@example.org,43,Male,Married,4,Johnsonborough,Health service manager,0,Theft,82,7,Life Insurance D,Partial,2025-01-11,2916,Health Insurance,4,9,5,3,0,27
92630,171,Corey Moore,(740)577-4841x392,vsanchez@example.org,29,Male,Married,5,Adamsshire,Set designer,1,Accident,84,1,Auto Insurance B,Full,2025-02-27,3297,Critical illness Insurance,10,8,4,10,53,11
70884,292,Sharon Phillips,511-558-5914,barrettmary@example.com,44,Male,Single,3,Christinaberg,Writer,3,Accident,70,9,Auto Insurance B,Partial,2026-01-20,2529,Critical illness Insurance,19,19,12,13,74,11
73006,384,Mr. Jeffrey Rodriguez MD,001-975-782-0096x36601,agregory@example.org,58,Male,Single,2,East Amanda,"Editor, film/video",0,Theft,41,0,Health Insurance C,Full,2026-02-05,3951,Vision Insurance,7,6,7,18,56,89
96122,417,Daniel Taylor,627.380.5233,naguilar@example.com,25,Female,Married,0,New Angela,Passenger transport manager,0,Theft,16,0,Health Insurance C,Full,2025-11-21,2981,Vision Insurance,20,15,13,3,84,57
93600,312,Brenda Wilkins DVM,(353)890-2132,timothysolis@example.org,24,Male,Single,0,East Courtneytown,"Engineer, communications",1,Theft,54,0,Health Insurance C,Partial,2024-07-12,4202,Health Insurance,12,8,4,6,116,77
51411,463,Heather Martinez,001-928-630-8792x093,kellidaniels@example.com,27,Female,Married,2,Lake Nicolemouth,Operations geologist,2,Accident,98,8,Home Insurance A,Partial,2026-01-20,4695,Disability Insurance,13,6,17,8,97,57
27525,304,Barbara Garner,913-355-9557x295,ijennings@example.com,36,Male,Single,1,Lake Andrewhaven,"Nurse, children's",1,Theft,71,2,Home Insurance A,Full,2026-07-02,4686,Accident Insurance,19,5,4,3,75,68
80208,754,Morgan Brown,(201)864-1577,deborah48@example.com,44,Female,Married,1,Haleystad,IT trainer,1,Accident,16,1,Auto Insurance B,Partial,2025-09-07,2455,Disability Insurance,20,11,0,14,67,14
92358,110,Tracey Williams,385-416-6592,sanchezjeffrey@example.net,63,Male,Single,4,Port Christinechester,Careers adviser,2,Accident,54,4,Health Insurance C,Partial,2026-03-05,3355,Disability Insurance,5,4,2,19,47,28
64748,482,Erika Leon,798-674-0525x103,amy05@example.org,58,Male,Single,5,Bauerport,"Editor, magazine features",1,Accident,86,9,Life Insurance D,Partial,2024-08-29,1982,Life Insurance,10,9,3,13,51,76
47090,461,George Davis,311-760-1003x3453,marcuslynch@example.org,42,Female,Single,5,Michaelborough,Biomedical engineer,2,Accident,73,9,Home Insurance A,Full,2025-01-30,2309,Life Insurance,20,9,14,2,47,39
69677,874,Gary Fisher,218-625-2878x50599,smithrachel@example.org,19,Male,Single,4,Craigstad,"Education officer, community",3,Theft,23,4,Home Insurance A,Partial,2025-09-13,2124,Vision Insurance,2,18,2,10,48,102
99356,949,Angelica Perez,401-201-1286,bwolfe@example.com,61,Male,Single,2,Scottburgh,Air broker,2,Accident,86,2,Health Insurance C,Full,2026-02-23,1876,Dental Insurance,7,10,14,2,103,92
22771,663,Carla Craig MD,663-720-9302,hillkeith@example.com,33,Male,Single,4,New Marilynmouth,Ophthalmologist,1,Natural Disaster,84,6,Life Insurance D,Partial,2024-11-13,4119,Health Insurance,8,4,6,18,71,3
20275,165,Lee Garza,959-525-2481x531,randy06@example.net,42,Male,Married,4,Chandlerton,Oncologist,0,Accident,81,4,Home Insurance A,Full,2026-02-09,2315,Life Insurance,3,8,13,12,104,55
87279,453,Kristy Johnson,449.502.0013x72540,wanggregory@example.net,60,Female,Single,3,Schwartzville,"Conservation officer, nature",2,Natural Disaster,80,7,Home Insurance A,Partial,2026-05-03,1040,Disability Insurance,17,1,14,14,106,104
18214,887,Kari Turner,+1-761-420-2025,casey43@example.com,65,Female,Married,2,West Amandatown,"Civil engineer, consulting",0,Accident,10,7,Life Insurance D,Full,2024-07-25,3768,Hospital indemnity insurance,10,18,20,6,109,86
67323,705,Erin King,636.628.7305x011,dominicjohnson@example.net,46,Female,Married,4,Clintonland,Operational researcher,3,Theft,21,7,Home Insurance A,Partial,2024-10-13,1621,Health Insurance,17,2,20,6,56,16
53741,845,Bryan Garrett,+1-755-487-3883,cbennett@example.com,45,Male,Single,1,Lake Kellystad,Learning mentor,0,Natural Disaster,24,7,Life Insurance D,Full,2026-03-23,4395,Health Insurance,12,3,6,3,15,57
61874,595,Cole Adams,289-287-5197x25790,stephaniemurray@example.org,66,Female,Single,2,New James,Food technologist,3,Theft,42,9,Home Insurance A,Full,2024-08-10,1658,Critical illness Insurance,2,4,3,10,16,71
62512,514,Susan Wilson,6913464299,christina17@example.com,35,Male,Single,5,Zacharyside,"Pharmacist, hospital",0,Natural Disaster,0,2,Auto Insurance B,Partial,2025-03-17,4535,Accident Insurance,20,2,10,5,10,17
91416,424,Dawn Obrien,001-951-437-3101x1847,charles78@example.net,31,Male,Married,3,Jenniferstad,"Editor, magazine features",2,Natural Disaster,50,6,Health Insurance C,Partial,2025-10-14,3100,Health Insurance,18,0,16,17,26,0
45257,325,Jennifer Weiss,001-415-972-1970x04352,garciamiranda@example.net,62,Female,Single,3,Wallerton,Applications developer,2,Accident,54,9,Health Insurance C,Full,2025-06-06,4802,Vision Insurance,4,2,18,10,16,24
40009,194,Michael Pace,744.803.6636,april02@example.com,31,Male,Single,2,South John,Air cabin crew,1,Theft,58,8,Auto Insurance B,Partial,2025-04-29,3978,Disability Insurance,11,6,19,19,116,57
30259,326,Kelly Johnson,001-632-943-5482,smallkristina@example.org,34,Male,Married,4,Tarabury,"Production designer, theatre/television/film",0,Accident,17,8,Auto Insurance B,Full,2024-12-25,4223,Health Insurance,11,13,8,1,4,108
67151,494,Daniel Harrison,(217)276-4354x2428,stevejones@example.com,52,Male,Married,4,New Debbie,Quality manager,1,Theft,16,7,Auto Insurance B,Partial,2024-08-17,3584,Vision Insurance,9,6,5,12,72,73
12111,417,Tanya Patel,(763)245-5563x278,williamsdeborah@example.net,26,Female,Single,5,Janetberg,Primary school teacher,1,Accident,75,7,Auto Insurance B,Full,2025-06-16,1092,Disability Insurance,2,4,11,5,37,44
50058,667,Dennis Reed,564-608-3479,hayleyraymond@example.com,19,Female,Married,0,Warrenmouth,Web designer,2,Natural Disaster,97,3,Auto Insurance B,Partial,2024-11-30,2949,Life Insurance,16,6,6,17,92,90
28938,583,Stephen Henderson,+1-682-225-5734,douglascoleman@example.org,21,Female,Single,0,North Monica,Fast food restaurant manager,3,Theft,48,8,Auto Insurance B,Full,2024-09-19,1975,Dental Insurance,3,12,14,12,116,49
